UNK 101011
powers 10010100111110010011010011101111111111110111001111101110111100100001000011000
pulled 01011101011001101001100101010010100001100111000
rule 101111101000001011100010001100101011011101001110101010110001011001011001101111
send 100001010011000101001010010100110110
thirty 101111001001100110111110
valley 01011000111101110001111000010100111110111001010
writer 100100110101100110101011001100101010100110110011100100010110
writers 1001001100100111110101110011100010110100001111101100001001110011010000000001
accept 100100010111010001001000111000101001100100011101100100100011010000110
allow 10010100010000010010100101110011100110001101010101100111101
assumed 10011011011010010001111001001101000101001010010001010101001111100111101100010001011101001
boat 01000000110011101000011101100000111000011001010011111010100110010
broke 01000110110111011101100101001110101001110110101010110010000
command 100101111001011110100100100011100011100111110100001001011
daughter 1011001000100010000010111000000010100010110101011101001000010101000111000001
detail 10011011101111011010001100100001011000010011000001101010110111000000101101011101100101110101011000000
everybody 00010010010101100100110100100011001
evil 100000001011010011011000111011110010101110110110
faces 100111001111001101101111101111110110000101100101
familiar 0111000011100100110000010110110010110010001101001001
fields 110101110001000001000000110000100111010011100010
fighting 10010100111000000100110001001111110001000100010010
hill 010111010110110001101110001100001011100000101
increases 1001010010011000101110111101001000111111100111101100101010001110000101101001000111011001100011110100101
items 1001011011101110000101001010100011111010101110101110011
jones 1011111010000010111000100011001010110111010011101010101100010110010110011010000111010
legal 1011111111100100010011101110011
master 1001010001000001001010010111001110011000110101010110011111
morgan 1011111101111111101001011100101001000110100100010010110
ordinary 100101100110011110111000010000101000101100101101110100000111111001011011110001110110000011010011011001
phase 1001101101101001000111100100110100010100101001000100000110111011000110111100111100000001110000
plus 1001010010011000010010101011011111010100010100011000111110001111100000110101000010
resources 1001010010011111011000111010110110101100001011111110001100100
sharp 010111110111010000100101101101100101010101101101001001111001000
somehow 100101001001100001001010101101111101010001010001100011111000111110000011010100000
upper 1010000000100000001110000100011110001011111100001
village 10111111011111111010010111001010010001101001000100101111
wants 0001001111111000
wine 0100001110100101101101011101001010010101100000110001011001111111000001000101000010100110001101110111
april 1011111111100100010011101110101110
beauty 1011000111100000010010100001110001001101111011
carrying 0101110010011000
chosen 101100011110000001001010000111000100110111100
column 0100000011001110100001110110000011100001100101001111101010011000
compared 100101001001100010111011110100100011111110011110110010101000111000010110100100011101100110001111010011
constant 100100110010011111010111001110001011010000111110110000100111001101000000001
du 1001010010011111101001010100010001001110001111101110010001111001111100111
factor 1001000001101110011001000110010011110001000000
forth 0101110101001000010010011101001000011101000010001011001111
historical 100101001111100100110100111011111111111101110011111011101111001000010000111
mercer 10011100111100110110111110111111011000010110011
platform 010000001100111010000111011000001110000110010100111110101001101
principles 1000010101100110001011110110100100000000010110101
proved 10111110001011001111001011110100010000010011110110011110111100000000101
responsible 10010100111010111010110000001111111011010011111010101111001001
richard 10010011010110011010101100110010101010011011001110010001010
smiled 011100101100000110111101110000100001111110110111010
unity 100101001111111010110011001000111110010100110011000111011110110010110101
universe 1001000101110100010010001110001010011001000111011001001000110100000
aircraft 1010011101000010101001100010000110001100110101000101000110001111101101001010011011
approximately 1001101101000010011000000110100100000110011001111010000101110000
box 0101110100101101111001101000101001110110110000111
buy 1000001001110100110101011110101011100000
calls 000100111111101
communism 1001010011100000010011000100111111000100010001000
danger 100101001110000001001100010011111100010001000101
dogs 1001101100010101111001000100001100011100000110000110110100101010101100
drawn 10110000110111111001101110000101010101100110011000001
dust 01011111011101000010010110110110010101010110110100100111100101
educational 100101011011101000110001101111101101111011010110011110001101
exchange 100110110110100100011110010011010001010010100100010000011011101100011011110011110000000111001
foot 01001101110101111011010100111000010001011111110111000010010100
independence 1011110111110001
independent 011011111010101100111011001110011110110101011000011110111
naturally 10001111110100111010000011000000111100
rain 0101011001011111111010010010011010010011101111000100110010100110101110110101
revolution 10010100111110010011010011101111111111110111001111101110111100100001000010
rome 01010001111100110100101000011100011000110100010011001
san 1011111010000010111000100011001010110111010011101010101100010110010110011011100
sections 1001101110111101101000110010000101100001001100000110101011011100000010110101110110010111010101100001
song 100100110111011010000011000110111110111110100011100101000100010101000110110001110111001011101011001100000011101011
text 100101101110111000010100101010001111101010111010110
waited 101111110111111110100101110010100100011010010001001010
walls 01010110010111111110100100100110100100111011110001001100101001101011101100
ancient 10010011001001111101011100111000101101000011111011000010011100110100000001
china 100101001110010101101001000000011000100101100100001011010101101111110000110001001101011000101111100110
clean 01011111110010000011001011100101011111001100011101110101011011100010
completed 10010101101110100011000110111110110111101101011001111011001
connection 100101001001111111001101111010010010101001101010000001101100101011
fashion 10010011011101101000001100011011111011111010001110010100010001010100011011000111011100101110101100110000001110100
hudson 101001110100001010100110001000011000110011010100010100011000111110110100101000
league 101111101000001011100010001100101011011101001110101010110001011001011001101000011100
levels 101001110100001010100110001000011000110011010100010100011000111110110100101001100
liberal 10010101101110100011000110111110110111101101011001111000111
lips 01000011101001011011010111010010100101011000001100010110011111110000010001010000101001100011011100
ordered 100100000110111001100100011001001111000100001
politics 1001010011101111010110101101110000001111001010011101010101101110100000
realize 100001101110110001101110
realized 101101101101111001101000110000100110100101010010000000011
seek 1001010011111011110000010000011111110011100110001100011110
settled 01100011001000110100101111100001010001
shelter 010101100101111111101001001001101001001110111100010011001010011010111011011
sweet 10011011101111011010001100100001011000010011000001101010110111000000101101011101100101110101011001
teachers 1001010110111010001100011011111011011110110101100111100011000
texas 10111110100000101110001000110010101101110100111010101011000101100101100110100001111
weather 1010100011110000000110100011101011101001001001100000110000100
willing 100100010111010001001000111000101001100100011101100100100011010001
actions 01001101110101111011010100111000010001011111110111000011
animal 1000011111011110011001
application 10010100100111111101100001011000000100101110001010011010100100000010111101101
appropriate 100101101110111000010100101010001111101010111010111000
article 10010100100111111100110111101001001010100110101000000110110010100
beat 1011111010000010111000100011001010110111010011101010101100010110010110011010000110
characteristic 1001011100000000111101100000100011100000100010
directed 0101010001010101011110001011001111101000011111111001101010100
drew 01011101011100000100011010010110001010001101000001110
dry 010000111010010110110101110100101001010110000011000101100111111100000100010100001010011000110111010
electric 1001001000001100110
electronic 10010110101011100101110001011111010111110111001111001111
emotional 100101110000000011110110000010001110000010000
excellent 100100100000110010
families 10010100111111101011001100100011111001010011001100011101111011001011011
fifty 1011110010011001101111111
flow 1001101101101001000111100100110100010100101001000101010100111110011110110001000101110101
frank 10010100111001010110100100000001100010010110010000101101010110111111000011000100110101100010111110010
horses 0101111101110100001001011011011001010101011011010010011110010010
initial 1001010010010010101110001110110111011000111100000100111010010010011
largely 10010000100100101101100100101110001101111011
leading 1001010011111001001101001110111111111111011100111110111011110010000100000
minimum 10010100100110000100101010110111110101000101000110001111100011111000001101010001
monday 10111110100000101110001000110010101101110100111010101011000101100101100110100000
ought 000100110011100100000010011010010
pictures 100101001100111101111011001000111001101001001010000100101010011110010
policies 10010100111000000100110001001111110001000100011
practical 10010111100101111010010010001110001110011111010000100100
projects 1001010010011111110011011110100100101010011010100000011011001011
protection 0101011001011111111010010010011010010011101111000100110010100110101110111
quick 0101110111100011010011100101
signs 11010111000100000100000011000010011101001110000
stands 101101111101101101101000100110010111
starting 01010010110100001110000111101100001010
statements 0110111110101011001110110011100111101101010110000111100
traffic 01011101011011000110111000110000101110000011
answered 0110001100100011010010111110000101001
aside 010000101110001101110110011010111110110101111111110100111110000001110110001
asking 1001001101011001101010110011001010101001101100111001000100
background 010101000101010101111000101100111110100001111111100110101011
career 01110001010000010101
chairman 1001010011101011101011000000111111101101001111101010111100101
communication 101100100010001000001011100000001010001011010101110100100001010100011100001
dress 0101111111001000001100101110010101111100110001110111010101101110000
ends 1000011101000110000101111000100100110010
estimated 1001010010011000010010101011011111010100010100011000111110001111100000110101001
flat 10011011000101011110010001000011000111000001100001101101001010101010
impact 1001001100011010001000001000001110010
jury 011011111010101100111011001110011110110101011000011111
legs 010011011101011110110101001110000100010111111101110000101
occurred 0001001110100100000001011000101000011111100111
paris 100101100101000100110
potential 10010100100110011001001101001110100100111010110111011110101011
reference 1001010010011001100100110100111010010011101011011101111010100
saturday 101111111110010001001110111000
sit 0101110101110000010001101001011000101000110100000110
teaching 1001101101101001000111100100110100010100101001000100000110111011000110111100111100000001111
thick 010111111100100000110010111001010111110011000111011101010110111000110
warm 01000000110011101000011101100000111000011001010011111010100111
wonder 0111001000101110101111011001111
yourself 00010011010111101000100
adequate 100101001001100110010011010011101001001110101101110111101011
arts 1001001101110110100000110001101111101111101000111001010001000101010001101100011101110010111010110011000000111011
besides 0001011111111100100100
birth 1011111000101100111100101111010001000001001111011001111011110000000011
block 010101100101111111101001001001101001001110111100010011001010011010111010
capable 100100011010100010000100000
chair 010111010100100001001001110100100001110100001000101100110
closely 100101000100000100101001011100111001100011010101011001110
cutting 0100011011011101110110010100111010100111011010101011001001
declared 1001010011100000010011000100111111000100010000
employees 100101001110101110101100000011111110110100111110101011110011
experiments 100110110110100100011110010011010001010010100100010000011011101100011011110011110000000110
fingers 0111000101000001011
forest 10010100100101011100000111100010101110000100111100111100110001110011001
gets 10110010001000100000101110000000101000101101010111010010000101010001110001
gross 10010100100110001011101111010010001111111001111011001010100011100001011010010001110110011000111101000
hanover 10000000101101001101100011101111001010111011010
helped 01010100010101010111100010110011111010000111111110011010100
honor 101001000111110111011100101100011011000011010100111101110001100
intellectual 1001010011111001001101001110111111111111011100111110111011110010000100001101
issues 10010101111100010101111111010101111111010100
july 10111111111001000100111011101010
measured 100110110110100100011110010011010001010010100100010101010011111001111011000100010111011
ourselves 10000110111011000110110
page 100101101010111001011100010111110101111101110011110011101
plays 10010100100111111000111100011000101011001011001000100000001010101100100110101
properties 10010100100110101111111001000110101110100111100101001110111010101000
relief 100110111011110110100011001000010110000100110000011010101101110000001011010111011001011101010110001
score 1001101100010101111001000100001100011100000110000110110100101010100
search 101010001111000000011010001110101110100100100110000011000011
significance 100001110100011000010111100010010011000
substantial 100101001001100001001010101101111101010001010001100011111000111110000011010101
achievement 100110110001010111100100010000110001110000011000011011010010101010111
attorney 100101001001111110100101010001000100111000111110111001000111100111110010
california 10111111100000011100001111111101111011100001010110000011
cell 10010110111011100001010010101000111110101011101011100100
desk 0101110101101100011011100011000010111000000
discussed 0100001110100101101101011101001010010101100000110001011001111111000001000101000010100110001101111
dominant 0100110111010111101101010011100001000101111111011100000
escape 1000111111010011101000001100000011111
headquarters 101111100010110011110010111101000100000100111101100111101111000000000
holding 01110010110000011011110111000010000111111011011100
hung 0101100011110111000111100001010011111011100100
imagination 100100101001001000110100111011010111101010101010000110001110001001011000
jobs 1001010110111010001100011011111011011110110101100111101101
join 10010010100100100011010011101101011110101010101000011000111000100101101
newspaper 10111110001011001111001011110100010000010011110110011110111100000001
object 1001011010101110010111000101111101011111011100111100110
objects 1001000110011110000010000101101110100011011111010011000011010101100000
passing 010101111100000111000001011111110101001100101
phil 01011101001011011110011010001010011101101100000
rapidly 01011010001100011100000000111101100000001001010010000
sleep 0101111101110100001001011011011001010101011011010010011110011
supposed 1011001000100010000010111000000010100010110101011101001000010101000111001
typical 10010111000111010110001101110101001000011101110111
wore 010111111100100000110010111001010111110011000111011101010110111001
aspects 100101001111100100110100111011111111111101110011111011101111001000010001
belief 10010100111110010011010011101111111111110111001111101110111100100001001
bodies 10000101000011
contemporary 100100110111011010000011000110111110111110100011100101000100010101000110110001110111001011101011001100000011100
credit 10010100100111110010101010010100111001011110011110010001111001111111000110011
dream 10000111010001100001011110001001001101
empty 0111011111001010111111110100001100
explain 100000100111010011010101111010101110001
grew 0101101000110001110000000011110110000000100101001001
laos 100101001110010101101001000000011000100101100100001011010101101111110000110001001101011000101111101
located 1101011100010000010000001100001001110100111001
matters 100101111011100110000001111010010111
message 01010111110000011100000101111111010100110011
primarily 1011000000101010010111111010001011100110
reasonable 1001010010011111100011110001100010101100101100100010000000101010110010011011
resolution 100101110110011100000011011010010001001010011110010110111110000100
site 1001010010010101110000011110001010111000010011110011110011000111001101
spiritual 1001010011111001001101001110111111111111011100111110111011110010000101
towards 1011100101000011100101100
yards 1011111010000010111000100011001010110111010011101010101100010110010110011010001
appeal 01101111101010110011101100111001111011010101100001111010
argument 10010110011001111011100001000010100010110010110111010000011111100101101111000111011000001101001101101
assume 1000011011101100011010
benefit 10010100100110000100101010110111110101000101000110001111100011111000001101011
broken 010011011101011110110101001110000100010111111101110001
competition 100110110001010111100100010000110001110000011000011011010010101011
contact 1001010011111110101100110010001111100101001100110001110111101100101100
domestic 100101001001111111001101111010010010101001101010000001101100100
dramatic 100100001110111111011101010001101
experiment 01101111101010110011101100111001111011010101100001110
fellow 1011001011011001010101111110111111
grow 10010001010000100011110101001110110100000101010011000110101
happen 0001001011111110111111001100111000011111
highest 100101001111101111000001000001111111001110011000110001110
kill 000100110101111010000
location 1001011011101110000101001010100011111010101110101111
maintenance 10010100100110011001001101001110100100111010110111011110100
narrow 0101001011010000111000011110110000100
parker 1011110011110110001010101011001
powerful 10010100111010111010110000001111111011010011111010101111000
relation 10010100110011110111101100100011100110100100101000010010101001111000
rifle 010001011010100100010001111100110111100101101001011101001111
shop 100101110001110101100011011101010010000111011101101
signal 100101001001111111000100111110100001111101001000100010001100
sufficient 101111111000000111000011111111011110111000010101100000100
tom 0101110101100110100110010101001010000110011101
tomorrow 1001011110010111101001001000111000111001111101000010011
unusual 10010100111101001101000101111111001101101111010101110000100110110110101111010111111011000110011111
wind 010111110111010000100101101101100101010101101101001001111000
achieved 10010100111101001101000101111111001101101111010101110000100110110110101111010111111011000110011110
agencies 10010100100101101110001
arrived 10111111000100000011100111111101101001
assignment 100101101010111001011100010111110101111101110011110010
baby 000101000110111110001100101100111
billion 1001010010011000101110111101001000111111100111101100101010001110000101101001000111011001100011110101
careful 10010001101010001000010001
concerning 10010111011001110000001101101001000100101001111001011011111000011
cool 01011111011101000010010110110110010101010110110100100111101
december 101111111110010001001110111011
drove 010111010001001000101001011100010110111110010101010000011101100
equally 1001010011110100110100010111111100110110111101010111000010011011011010111101011111101100011001110
extreme 10100100011111011101110010110001101100001101010011110111000111
fund 1001010010011111110110000101100000010010111000101001101010010000001011110111
greatly 000100000001100000111110
guests 0111010100101010001101100010101100110000010110100000001101111011100
homes 100001000000010010101100000000000000000111110010010101011101110
internal 100001001011001010010010000011
jesus 100100010100001000111101010011101101000001010100110001101000
library 10010011011101101000001100011011111011111010001110010100010001010100011011000111011100101110101100110000001111
officials 10010100100111100001101000111110011010001101010111101000110100
please 00010011001110010000001001101000
portion 10100000001000000011100001000111100010111111001
recognize 100001101110110001100
reduce 10011011011010010001111001001101000101001010010001010101001111100111101100010001011100
rising 01010110010111111110100100100110100100111011110001001100101001101011100
save 1110100000100100110010001111110
senate 100101001110101110101100000011111110110100111110101011111
sets 10011011011010010001111001001101000101001010010001000001101110110001101111001111000000011101
speaking 10010011100010000001101001100101011000001001
struggle 100101001110000001001100010011111100010001001
wilson 10011011000101011110010001000011000111000001100001101101001010100
acting 0101110100010010001010010111000101101111100101010100000111011011
associated 101100110011111
beach 0001000000011000001111110
boston 1011111000101100111100101111010001000001001111011001111011110000001
clock 101101100111000001010001010111111110100010
closer 001000100010100111011110111101000
coast 10010100111001010110100100000001100010010110010000101101010110111111000011000100110101100010111111
commercial 10010100100111111010010101000100010011100011111011100100011110011111000
continuing 1001010110111010001100011011111011011110110101100111100010
courses 10010101101110100011000110111110110111101101011001111010
duty 01110010001011101011110110011101
eat 0001000010001101010011110101011010
eisenhower 100101001110010101101001000000011000100101100100001011010101101111110000110001001101011000100
european 1001010010011110000110100011111001101000110101011110100011011
feelings 100101110001110101100011011101010010000111011100
friendly 100101001111111010110011001000111110010100110011000111011110110010111
governments 100101001001111111001101111010010010101001101010000001101100101010011
greek 1011000011011111100110111000010101010110011001100001
ideal 10010100111101001101000101111111001101101111010101110000100110110110101111010111111011000110010
imagine 1001100001111010010110101111010101000101001101110010000011101
metal 10011000011110100101101011110101010001010011011100100000111000
minister 0101011001011111111010010010011010010011101111000100110010100110101111
odd 1001010010011010111111100100011010111010011110010100111011101011
organizations 1001010011101011101011000000111111101101001111101010111101
pleasure 100100000011111111000001011100000010011
possibly 00010001011011110
prices 1001010010011111101001010100010001001110001111101110010001111001111101
procedures 1001101110111101101000110010000101100001001100000110101011011100000010110101110110010111010101101
shore 0100000011001110100001110110000011100001100101001111101010010
shoulder 010110001111011100011110000101001111101110011
showing 1001010010010101110000011110001010111000010011110011110011000111000
soft 0101111101110100001001011011011001010101011011010010011111
speech 10010100100111111100010011111010000111110100100010001000111
tests 1001000000111111110000010111000000100101
vast 1001011101000110110101111101
victory 101111101000001011100010001100101011011101001110101010110001011001011001101001
weapons 10010100111000000100110001001111110001000101
armed 100101001110111101011010110111000000111100101001110101010110111010001
circle 01001101110101111011010100111000010001011111110111001
contained 10010110111011100001010010101000111110101011101011101
contract 100101001001111000011010001111100110100011010101111010001100
ended 1010100011110000000110100011101011101001001001100000110001
existing 100101001001010111000001111000101011100001001111001111001100011101
fat 101100101101100101010111111011110
friday 10000110010101101101110000000011001001010011
garden 010000111010010110110101110100101001010110000011000101100111111100000100010100001010011000110110
goal 100101001111010011010001011111110011011011110101011100001001101101101011110101111110110001100110
heavily 010001101101110111011001010011101010011101101010101100101
keeping 011100001110010011000001011011001011001000110100101
learning 100101011011101000110001101111101101111011010110011110000
machinery 100101001001111101100011101011011010110000101111111000110011
maintain 1001010010011001100100110100111010010011101011011101111011
moon 100110110110100100011110010011010001010010100100010101010011111001111011000100110101
nose 01011110101110100010101011011101110011111110001010001
onto 010110100011000111000000001111011000000010010100101
orchestra 100100110111011010000011000110111110111110100011100101000100010101000110110001110111001011101011001100000010
refused 011101111100101011111111010000111
scale 10010001011101000100100011100010100110010001110110010010001101000010
setting 100101001001001010111000111011011101100011110000010011101001001000
slow 1001010011001111011110110010001110011010010010100001001010100111101
somewhere 000110001111001110001000100111100
stared 1011101001011000
streets 0101011111000001110000010111111101010011000
task 1001010010011111110001001111101000011111010010001000100010
technique 100100110010011111010111001110001011010000111110110000100111001101000001
travel 10010100100101011100000111100010101110000100111100111100110001110010
advance 101101110111010011000010110001111100101001101
bible 10010011010110011010101100110010101010011011001110010000
budget 10010100010000010010100101110011100110001101010101100110
chemical 1001000101000010001111010100111011010000010101001100011011
conclusion 10010001011101000100100011100010100110010001110110010010001101001
drop 100110110110100100011110010011010001010010100100010101010011111001111011000100010110
exist 110101110001000001000000110000100111010011101
finds 100100010000010100100101100110100010110000111100010110
formula 1001011001100111101110000100001010001011001011011101000001111110010110111100011101100000110100110111
headed 101000000010000000111000010001111000101111110001
housing 010101100101111111101001001001101001001110111100010011001010011010110
judgment 100101001001111110100101010001000100111000111110111001000111100111111
lie 100100010100001000111101010011101101000001010100110001100
mine 100100110101100110101011001100101010100110110011100100011
negroes 01011111110010000011001011100101011111001100011101110101011011101
notice 000100111010010000000101100010100001111110010
novel 100001111101111001101
painting 1001001101011001101010110011001010101001101100111001001
parties 10010100111110111100000100000111111100111001100011000110
plants 101111100010110011110010111101000100000100111101100111101111000001
repeated 01011000111101110001111000010100111110111000
roof 01010110010111111110100100100110100100111011110001001100101001101010
sensitive 1001101100010101111001000100001100011100000110000110110100101011
sexual 10010111000000001111011000001000111000001001
snow 00011000111100111000100010011111
solution 1000011101000110000101111000100100111
songs 1001001101110110100000110001101111101111101000111001010001000101010001101100011101110010111010110011000000110
stories 1001001100100111110101110011100010110100001111101100001001110011010000001
struck 1011011001110000010100010101111111101000111101101111110100110111111000111011010010
taste 1000000010110100110110001110111100101011101100
tree 10011010100101110
ultimate 1001010001000001001010010111001110011000110101010110010
uses 10010100100101011100000111100010101110000100111100111100110001111
avoid 10100111010000101010011000100001100011001101010001010001100011111011010010100111
busy 0001001001010110010011010010001101
causes 100110110110100100011110010011010001010010100100010000011011101100011011110011110000001
commerce 100101001001111110001111000110001010110010110010001000000010101011001001100
culture 10010011011101101000001100011011111011111010001110010100010001010100011011000111011100101110101100110000000
dallas 10111110100000101110001000110010101101110100111010101011000101100101100110110
emphasis 10010100100111111101100001011000000100101110001010011010100100000010111100
establish 10010100100111111100110111101001001010100110101000000110110011
exercise 101101100111000001010001010111111110100011110110111111010011011111100011101101000
fairly 100101011111000101011111110101011111110100
grounds 0100100011
hence 100101100110011110111000010000101000101100101101110100000111111001011011110001110110000011010011010
hole 010111010111000001000110100101100010100011010000010
india 1001010010011111110011011110100100101010011010100000011011000
leg 0100110111010111101101010011100001000101111111011101
liked 01110001001101001110001100110010011101
lose 01110111110010101111111101000010
minor 100101111001011110100100100011100011100111110100001000
neighborhood 10010110011001111011100001000010100010110010110111010000011111100101101111000111011000001101001100
nineteenth 1001010001110101111100111011110100100100010
occasion 010010000
orders 10111111011111111010010111001010010001101001000100100
pale 0101111010111010001010101101110111001111111000101001
perfect 10010001010000100011110101001110110100000101010011000111
previously 10010110101011100101110001011111010111110111001111000
providing 100110110100001001100000011010010000011001100111101000010111001
railroad 1001010010011000010010101011011111010100010100011000111110001111100000110100
remove 1001101010010110
roads 100101001001010111000001111000101011100001001111001111001100011100111
roman 10010100111111101011001100100011111001010011001100011101111011001010
safe 0101011001011111111010010010011010010011101111000100110010100110100
sky 01011110101110100010101011011101110011111110001011
smile 010111101011101000101010110111011100111111100010101
somebody 0111011111001010111111110100000
stone 010101100101111111101001001001101001001110111100010011001010011011
surprised 011100101011001
talked 01110010011111011011001110
tension 1001101101101001000111100100110100010100101001000101010100111110011110110001000101111
tuesday 1000011001010110110111000000001100100101000
understood 0111001100101101111101000011110110101010010
unique 1001011001100111101110000100001010001011001011011101000001111110010110111100011101100000110100111
useful 1001011010101110010111000101111101011111011100111101
v 100101100110011110111000010000101000101100101101110100000111111001010
wondered 0111000100110100111000110011001001111
afraid 0101110100010010001010010111000101101111100101010100000111010
alive 10110111110110110110100010011001010
animals 10101000111100000001101000111010111010010010011000001100000
apart 100110101001010
apparent 100101001111010011010001011111110011011011110101011100001001101101101011110101111110110001101
appearance 1011011001110000010100010101111111101000111101101111110100110111111000111011010011
artist 10010011001111101011011110001101000111110100001101100011101000010
baseball 101111101000001011100010001100101011011101001110101010110001011001011001100
bay 1001010011100101011010010000000110001001011001000010110101011011111100001100010011010110001011110
bear 10010001000001010010010110011010001011000011110001010
becoming 100100001001001011011001001011100011011111
beneath 01011111011101000010010110110110010101010110110100100110
birds 101010001111000000011010001110101110100100100110000011001
charged 100101001001100001001010101101111101010001010001100011111000111110000011011
combination 1001101101101001000111100100110100010100101001000101010100111110011110110001001100
completion 101100001101111110011011100001010101011001100110001
congo 1001010011100000010011000100111111000100011
critical 100101001001111111011000010110000001001011100010100110101001000000101111010
details 10010111100101111010010010001110001110011111010000101
dictionary 10010110111011100001010010101000111110101011101010
enjoyed 011101010010101000110110001010110011000001011010000000110111101111
entrance 01010110010111111110100100100110100100111011110001001100101001100
flowers 010111110111010000100101101101100101010101101101001001110
goods 1001000010010010110110010010111000110111100
hardy 10010100011101011111001110111101001001000111
informed 1001101101101001000111100100110100010100101001000100000110111011000110111100111100000000
lewis 011100010011010011100011001100100111001
majority 100101001111100100110100111011111111111101110011111011101111001000011
notes 011100010011010011100011001100100110
permitted 011011111010101100111011001110011110110101011000010
processes 10010100100111110110001110101101101011000010111111100011000
professor 00100010001010011101111011110101
replied 00010011010111101001
requires 10000111110111100111
shook 1001010010011000101110111101001000111111100111101100101010001110000101101001000111011001100011111
spot 11010111000100000100000011000010011101001111
truck 01011101000100100010100101110001011011111001010101000001110111
truly 100101110010010010101101000011001011101100011110001011010101110111011101100001110110010110
uncle 011100101100000110111101110000100001111110110110
academic 10010101101110100011000110111110110111101101011001111001
agency 10010100100111111100110111101001001010100110101000000110111
apply 100101101010111001011100010111110101111101110011111
bought 010100101101000011100001111011000011
chinese 1001010010011010111111100100011010111010011110010100111011101010101
confidence 1001010011110100110100010111111100110110111101010111000010011011011010111101011111101100011000
double 1001000101110100010010001110001010011001000111011001001000110101
draw 010111011110001101001110011
entitled 01101111101010110011101100111001111011010101100000
evident 1001011100011101011000110111010100100001110111010
fifteen 10111100100110011011110
granted 1001010010011111110011011110100100101010011010100000011010
guess 00010011010010101101
hat 10110110011100000101000101011111111010001111011011111101001101111110001110110101
intensity 10011011011010010001111001001101000101001010010001010101001111100111101100010011011
joined 10101000111100000001101000111010111010010010011000001101
loved 011101111100101011111111010001
minds 1011011101110100110000101100011111001010011000
motor 0101110100101101111001101000101001110110110001
organized 10010100111010111010110000001111111011010011111010101110
palmer 01110101001010100011011000101011001100000101101000000011011110110
pure 1001011100100100101011010000110010111011000111100010110101011101110111011000011101100100
regarded 100100111101
represented 1001011011101110000101001010100011111010101110100
review 100101001001111111001101111010010010101001101010000001101101
sample 10011011011010010001111001001101000101001010010001010101001111100111101100010001010
september 1011111111100100010011101111
soldiers 1001010111110001010111111101010111111101011
spite 100101000111010111110011101111010010010001100010010
vision 100101000100000100101001011100111001100011010101011000
vital 10010100111101001101000101111111001101101111010101110000100110110110101111010111111011001
wage 100101001001100010111011110100100011111110011110110010101000111000010110100100011101100110001111011
wheel 010000001100111010000111011000001110000110010100111110101000
wild 01011101010111011011101000000000100000110100110111
artists 1001011111101101111111110011001010011
begins 10010001011101000100100011100010100110010001110110010010001100
britain 100101001110010101101001000000011000100101100100001011010101101111110000110001001101011000101110
components 100110110110100100011110010011010001010010100100010101010011111001111011000100111
conduct 1001010010011111011000111010110110101100001011111110001101
conducted 1001010011101111010110101101110000001111001010011101010101101110101
cross 10010111001001001010110100001100101110110001111000101101010111011101110110000111011001010
demands 10010101111100010101111111010101111111011
device 01010010110100001110000111101100000
divided 0101110101011101101110100000000010000011010011010
executive 1001010011101011101011000000111111101101001111101010110
extended 010011011101011110110101001110000100010111111101111
firms 1001010010011111001010101001010011100101111001111001000111100111111100011000
fort 10000100000001001010110000000000000000011111001001010101110110
games 10111110100000101110001000110010101101110100111010101011000101100101100110101
generation 100100010111010001001000111000101001100100011101100100100011011
huge 100101001001101011111110010001101011101001111001010011101110101011
identity 1001010010011111110110000101100000010010111000101001101010010000001011111
improved 100101110010010010101101000011001011101100011110001011010101110111011101100001110110011
inner 10010111001001001010110100001100101110110001111000101101010111011101110110000111011000
item 100101001001100010111011110100100011111110011110110010101000111000010110100100011101100110001110
joe 01110010110000011011110111000010000111111011010
joseph 10010100111001010110100100000001100010010110010000101101010110111111000011000100110101100010110
marine 10010100111011110101101011011100000011110010100111010101011011101001
minute 00010010111111101111110011001110000111101
motion 10011011011010010001111001001101000101001010010001000001101110110001101111001111000001
pick 01011101011001101001100101010010100001100110
properly 000100001101011001011001101001
publication 100101001110111101011010110111000000111100101001110101010110111011
rooms 01011101010010000100100111010010000111010000100010110010
runs 10111110100000101110001000110010101101110100111010101011000101100101100111
sought 100101110010010010101101000011001011101100011110001011010101110111011101100001110110010111
sounds 000100100101011001001101001000111
tall 10110110011100000101000101011111111010001111011011111101001101111110001110111
theme 10010011001001111101011100111000101101000011111011000010011100110100001
vice 10010100111001010110100100000001100010010110010000101101010110111111000011000100110100
wagon 010111010001001000101001011100010110111110010101010000011100
win 100101001100111101111011001000111001101001001010000100101010011111
wished 10110001111000000100101000011100010011011111
wood 01000101101010010001000111110011011110010110100101110100110
worry 0111001001111101101100110
yellow 0101111111001000001100101110010101111100110001110111010101101111
attend 100101011011101000110001101111101101111011010110011111
create 10010100100111111000111100011000101011001011001000100000001010101100100111
cultural 1001010011110100110100010111111100110110111101010111000010011011011010111101011111101100010
dear 100100110101100110101011001100101010100110110011100101
decisions 1001011110010111101001001000111000111001111101000011
description 100101101110111000010100101010001111101010111011
faced 10010100100100101011100011101101110110001111000001001110100100100100
forget 0111001001011000011110
interpretation 1001011101100111000000110110100100010010100111100101101111100000
jews 1011011001110000010100010101111111101000111101101111110100110111111000111011011
lake 01000000110011101000011101100000111000011001010011111010101
machines 1010011101000010101001100010000110001100110101000101000110001111101101001010010
martin 011100010011010011100011001100100111000
